date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2004-03-26,57.048913,87800000.0,,13700000.0,781570108.1,,15.603644646924831,0.0,,,,,,,5008894561.4,148578415.42000002,18976697.600000005,2.9308446633569547,0.2909379150630567
2004-03-29,58.111089,87800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5102153614.2,148578415.42000002,13047674.900000008,2.9308446633569547,0.1704559873522133
2004-03-30,58.71027,87800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5154761706.0,158650021.3,7744709.6600000085,3.174417058485507,0.06432391188051519
2004-03-31,58.801645,87800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5162784431.0,160875124.02,20713949.680000007,3.2286911426103373,0.3379557526765351
2004-04-01,59.305603,89800000.0,,2000000.0,118611206.0,,2.2271714922048997,0.0,,,,,,,5325643149.4,180036262.82,29627280.78000001,3.566163227825946,0.5122866194782159
2004-04-02,60.118317,89800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5398624866.599999,23722241.2,29627280.78000001,0.4454342984409799,0.5122866194782159
2004-04-05,60.411484,91400000.0,,1600000.0,96658374.4,,1.75054704595186,0.0,,,,,,,5521609637.6,43053916.08,34460199.50000001,0.7955437076313518,0.5998139717758089
2004-04-06,59.710734,91400000.0,,0.0,0.0,,0.0,0.0,,,,,,,5457561087.6,43053916.08,30954983.840000004,0.7955437076313518,0.5253722844308957
2004-04-07,59.94339,90400000.0,,-1000000.0,-59943390.0,,-1.1061946902654867,0.0,,,,,,,5418882456.0,31065238.080000002,30537831.605000008,0.5743047695782546,0.5265242814107205
2004-04-08,59.56871,91600000.0,,1200000.0,71482452.0,,1.3100436681222707,0.0,,,,,,,5456493836.0,21639487.28,28439744.105000008,0.39087920476172877,0.4696274440090005
2004-04-12,59.745397,91600000.0,,0.0,0.0,,0.0,0.0,,,,,,,5472678365.2,21639487.28,39484434.22500001,0.39087920476172877,0.7135298830333907
2004-04-13,58.374063,91600000.0,,0.0,0.0,,0.0,0.0,,,,,,,5347064170.8,2307812.4,45139415.12500001,0.04076979557135681,0.84528218869874
2004-04-14,57.997293,89600000.0,,-2000000.0,-115994586.0,,-2.232142857142857,0.0,,,,,,,5196557452.8,-20891104.8,39339685.825,-0.4056587758572146,0.733675045841597
2004-04-15,57.827691,88600000.0,,-1000000.0,-57827691.0,,-1.128668171557562,0.0,,,,,,,5123533422.6,-20467965.0,52318962.125,-0.41015347211562975,1.067866637263719
2004-04-16,58.133949,88600000.0,,0.0,0.0,,0.0,0.0,,,,,,,5150667881.400001,-34764455.4,52318962.12500001,-0.6721622057400839,1.067866637263719
2004-04-19,58.48914,90100000.0,,1500000.0,87733710.0,,1.6648168701442843,0.0,,,,,,,5269871514.0,-17217713.4,44180607.62500001,-0.339198831711227,0.8569898337121096
2004-04-20,57.382798,91600000.0,,1500000.0,86074197.0,,1.6375545851528384,0.0,,,,,,,5256264296.8,-2874.0,48484317.47500001,-0.01168791468065935,0.9388675629697515
2004-04-21,58.121053,91000000.0,,-600000.0,-34872631.800000004,,-0.6593406593406594,0.0,,,,,,,5289015823.0,16221516.839999998,49258587.355000004,0.3028725248797802,0.9667936287848568
2004-04-22,59.120265,91000000.0,,0.0,0.0,,0.0,0.0,,,,,,,5379944115.0,27787055.04,49814863.03500001,0.5286061591912926,0.9803621498160643
2004-04-23,58.866021,93400000.0,,2400000.0,141278450.4,,2.569593147751606,0.0,,,,,,,5498086361.400001,56042745.120000005,55738509.955000006,1.0425247887416138,1.0818512538973017
2004-04-26,58.742606,93000000.0,,-400000.0,-23497042.400000002,,-0.43010752688172044,0.0,,,,,,,5463062358.0,33796594.64,15485152.430000007,0.6235399093364128,0.2801636452069742
2004-04-27,58.872456,93000000.0,,0.0,0.0,,0.0,0.0,,,,,,,5475138408.0,16581755.239999998,15485152.430000007,0.2960289923058451,0.2801636452069742
2004-04-28,57.517893,93000000.0,,0.0,0.0,,0.0,0.0,,,,,,,5349164049.0,23556281.6,15485152.430000007,0.42789712417397696,0.2801636452069742
