date,shares_outstanding,nav,fund_aum,class_aum,shares_change,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2025-12-15,2548619.0,175.9118,725154939.62,448332155.8042,20945.0,3684472.651,0.00821817619659902,1.3260850913745543,2700944.084439999,1756545.2445499997
2025-12-16,2551316.0,174.8429,722147620.99,446079488.2564,2697.0,471551.30129999993,0.0010571015115336555,0.15270465037835537,2152757.3378199986,1763557.839615
2025-12-17,2562316.0,175.0066,725690174.89,448422211.2856,11000.0,1925072.5999999999,0.004292991184537738,0.6750527703047073,1242413.7104599988,1859811.469615
2025-12-18,2567601.0,177.0134,736686494.53,454499782.8534,5285.0,935515.8189999999,0.002058341619278073,0.30716625022105876,1372875.711759999,1877050.938665
2025-12-19,2563073.0,177.4177,740754397.66,454734516.59209996,-4528.0,-803347.3456,-0.0017666293546847868,-0.328905357100208,1242653.0051399989,1680136.4028299998
2025-12-22,2594849.0,177.2914,749153912.24,460044411.9986,31776.0,5633611.5264,0.012245799273869115,1.928967536882356,1632480.780219999,1900183.034775
2025-12-23,2594849.0,177.6141,753208998.7,460881769.7709,0.0,0.0,0.0,-0.05411810048959772,1538170.5199599988,1875769.7597750002
2025-12-24,2617538.0,177.5107,757492351.96,464641002.65660006,22689.0,4027540.2723000003,0.00866806900224562,1.3278756861086503,1958664.0544199988,2063204.9314100002
2025-12-29,2617538.0,177.7402,758471793.63,465241727.62759995,0.0,0.0,0.0,-0.06589725672482835,1771560.8906199993,1825697.33266
2025-12-30,2617538.0,179.3889,767699601.19,469557262.52820003,0.0,0.0,0.0,-0.06589725672482835,1932230.3597399988,1744172.12762
2025-12-31,2617538.0,178.8966,766117524.82,468268648.5708,0.0,0.0,0.0,-0.06700385840737887,805508.0544599991,1401786.29978
2026-01-02,2617538.0,180.7992,774265574.1,473248776.36960006,0.0,0.0,0.0,-0.06772366641855823,805508.0544599991,1319819.34978
2026-01-05,2616561.0,182.0807,781845289.7,476425258.4727,-977.0,-177892.8439,-0.0003733908745104739,-0.12781165604499026,-35578.56878000093,1310924.707585
2026-01-06,2616561.0,182.4158,786539219.8,477302068.0638,0.0,0.0,0.0,-0.06854050887879323,-35578.56878000093,1275838.5875849999
2026-01-07,2650834.0,181.8894,792886375.48,482158605.7596,34273.0,6233895.4062,0.012929138527723729,2.0362794757631955,1211200.5124599992,1587533.357895
