date,nav
2018-10-02,185.757051
2018-10-03,185.978689
2018-10-04,182.422037
2018-10-05,180.204004
2018-10-08,179.078824
2018-10-09,179.537866
2018-10-10,171.574248
2018-10-11,169.614553
2018-10-12,174.314215
2018-10-15,172.15808
2018-10-16,177.214256
2018-10-17,177.26698
2018-10-18,173.309433
2018-10-19,173.091016
2018-10-22,173.917189
2018-10-23,173.370035
2018-10-24,165.347983
2018-10-25,170.878353
2018-10-26,166.883874
2018-10-29,163.511561
2018-10-30,165.86868
2018-10-31,169.694767
2018-11-01,172.178531
2018-11-02,169.64713
2018-11-05,168.960502
2018-11-06,170.248767
2018-11-07,175.464017
2018-11-08,174.474254
2018-11-09,171.56788
2018-11-12,166.453819
2018-11-13,166.49691
2018-11-14,165.096249
2018-11-15,168.067116
2018-11-16,167.495003
2018-11-19,162.041223
2018-11-20,159.224416
2018-11-21,160.417565
2018-11-22,160.417565
2018-11-23,159.23885
2018-11-26,162.914731
2018-11-27,163.466328
2018-11-28,168.639314
2018-11-29,168.135796
2018-11-30,169.511079
2018-12-03,172.263612
2018-12-04,165.768246
2018-12-05,165.768246
2018-12-06,166.875929
2018-12-07,161.382409
2018-12-10,163.072435
2018-12-11,163.594757
2018-12-12,165.047526
2018-12-13,165.168874
2018-12-14,160.955239
2018-12-17,157.386796
2018-12-18,158.463692
2018-12-19,154.847302
2018-12-20,152.418042
2018-12-21,147.631467
2018-12-24,143.623998
2018-12-25,143.623998
2018-12-26,152.468968
2018-12-27,153.097256
2018-12-28,153.030935
2018-12-31,154.13647
2019-01-01,154.13647
2019-01-02,154.88787
2019-01-03,149.719449
2019-01-04,156.424182
2019-01-07,158.01966
2019-01-08,159.566772
2019-01-09,160.757635
2019-01-10,161.249592
2019-01-11,160.771142
2019-01-14,159.301043
2019-01-15,162.430512
2019-01-16,162.403438
2019-01-17,163.616979
2019-01-18,165.223724
2019-01-21,165.223724
2019-01-22,161.868677
2019-01-23,162.158681
2019-01-24,163.223514
2019-01-25,165.285558
2019-01-28,163.086981
2019-01-29,161.521116
2019-01-30,165.802023
2019-01-31,168.215503
2019-02-01,167.450321
2019-02-04,169.504759
2019-02-05,171.05411
2019-02-06,170.464662
2019-02-07,168.214872
2019-02-08,168.48097
2019-02-11,168.3865
2019-02-12,170.953227
2019-02-13,170.981668
2019-02-14,171.174211
2019-02-15,171.968964
2019-02-18,171.968964
2019-02-19,172.246308
2019-02-20,172.220983
