date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2014-06-09,6.835483,610219707.0,0.0,4171146800.33,0.0,0.0,0.2667151902539245,1354923.800000018,-343149.8300000037
2014-06-10,6.833939,610219707.0,0.0,4170204682.39,0.0,0.0,0.2667151902539245,1354923.800000018,-343149.8300000037
2014-06-11,6.807584,610219707.0,0.0,4154122337.96,0.0,0.0,0.2667151902539245,1354923.800000018,-343149.8300000037
2014-06-12,6.811736,611219707.0,1000000.0,4163467623.74,6811736.0,0.0016360727680839002,1.144208194887213,1362347.2000000179,-2563.030000003707
2014-06-13,6.746682,611219707.0,0.0,4123705022.62,0.0,0.0,0.25792585489764297,1362347.2000000179,-2563.030000003707
2014-06-16,6.72332,611219707.0,0.0,4109425695.37,0.0,0.0,0.25792585489764297,1362347.2000000179,-2563.030000003707
2014-06-17,6.735259,611219707.0,0.0,4116723115.04,0.0,0.0,0.25792585489764297,1362347.2000000179,-2563.030000003707
2014-06-18,6.748269,611219707.0,0.0,4124675399.03,0.0,0.0,0.25792585489764297,1362347.2000000179,-815773.0300000038
2014-06-19,6.777585,611219707.0,0.0,4142593841.05,0.0,0.0,0.25792585489764297,0.0,-341432.45000000374
2014-06-20,6.794431,611219707.0,0.0,4152890221.97,0.0,0.0,0.25792585489764297,0.0,-341432.45000000374
2014-06-23,6.769639,611219707.0,0.0,4137737233.84,0.0,0.0,0.25792585489764297,0.0,-341432.45000000374
2014-06-24,6.756247,611219707.0,0.0,4129551325.7,0.0,0.0,0.25792585489764297,0.0,-1424.7500000037253
2014-06-25,6.703531,611219707.0,0.0,4097330475.57,0.0,0.0,0.25792585489764297,0.0,679317.7499999963
2014-06-26,6.70482,611219707.0,0.0,4098118322.41,0.0,0.0,0.25792585489764297,0.0,679317.7499999963
2014-06-27,6.727396,611219707.0,0.0,4111917225.67,0.0,0.0,0.25792585489764297,0.0,679317.7499999963
2014-06-30,6.713466,611219707.0,0.0,4103402983.8,0.0,0.0,0.24351689702181678,0.0,679317.7499999963
2014-07-01,6.772043,611219707.0,0.0,4139206359.37,0.0,0.0,0.24351689702181678,0.0,679317.7499999963
2014-07-02,6.786625,611219707.0,0.0,4148119217.51,0.0,0.0,0.22484588402747482,0.0,679317.7499999963
2014-07-03,6.83515,611219707.0,0.0,4177778562.04,0.0,0.0,0.20437476007850935,0.0,340586.79999999626
2014-07-04,6.835919,611219707.0,0.0,4178248985.8,0.0,0.0,0.183149192078688,0.0,340586.79999999626
2014-07-07,6.793374,611219707.0,0.0,4152244492.36,0.0,0.0,0.183149192078688,0.0,340586.79999999626
2014-07-08,6.708613,611219707.0,0.0,4100436706.38,0.0,0.0,0.17779484147255917,0.0,340586.79999999626
2014-07-09,6.688977,611219707.0,0.0,4088434793.07,0.0,0.0,0.17779484147255917,0.0,340586.79999999626
2014-07-10,6.643381,611219707.0,0.0,4060565549.91,0.0,0.0,0.17779484147255917,0.0,0.0
2014-07-11,6.66092,611219707.0,0.0,4071285725.85,0.0,0.0,0.15367441770169202,0.0,0.0
2014-07-14,6.716571,611219707.0,0.0,4105300932.45,0.0,0.0,0.15367441770169202,0.0,0.0
2014-07-15,6.681019,611219707.0,0.0,4083570956.82,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-16,6.756194,611219707.0,0.0,4129519330.21,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-17,6.709926,611219707.0,0.0,4101239606.29,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-18,6.720929,611219707.0,0.0,4107964470.38,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-21,6.699903,611219707.0,0.0,4095113126.18,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-22,6.766376,611219707.0,0.0,4135742383.61,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-23,6.771561,611219707.0,0.0,4138911772.3,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-24,6.794646,611219707.0,0.0,4153022067.5,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-25,6.764779,611219707.0,0.0,4134766838.38,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-28,6.761151,611219707.0,0.0,4132549101.33,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-29,6.780682,611219707.0,0.0,4144487012.66,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-30,6.746438,611219707.0,0.0,4123556056.3,0.0,0.0,0.12935013783129734,0.0,0.0
2014-07-31,6.703176,611219707.0,0.0,4097113275.08,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-01,6.652323,611219707.0,0.0,4066031350.68,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-04,6.650544,611219707.0,0.0,4064943999.5,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-05,6.655353,611219707.0,0.0,4067883192.31,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-06,6.623226,611219707.0,0.0,4048246671.08,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-07,6.584495,611219707.0,0.0,4024573527.51,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-08,6.554554,611219707.0,0.0,4006272747.99,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-11,6.619678,611219707.0,0.0,4046078040.24,0.0,0.0,0.12935013783129734,0.0,0.0
2014-08-12,6.619119,611219707.0,0.0,4045736273.22,0.0,0.0,0.12935013783129734,0.0,0.0
