catalog_key,assigned_entity_id,valid_from,valid_to,source,reason
radar_20260921_0220,radar_entity_0220,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0221,radar_entity_0221,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0222,radar_entity_0222,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0223,radar_entity_0223,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0224,radar_entity_0224,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0225,radar_entity_0225,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0226,radar_entity_0226,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0227,radar_entity_0227,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0228,radar_entity_0228,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0229,radar_entity_0229,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0230,radar_entity_0230,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0231,radar_entity_0231,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0232,radar_entity_0232,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0233,radar_entity_0233,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0234,radar_entity_0234,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0235,radar_entity_0235,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0236,radar_entity_0236,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0237,radar_entity_0237,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0238,radar_entity_0238,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0239,radar_entity_0239,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0240,radar_entity_0240,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0241,radar_entity_0241,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0242,radar_entity_0242,20260921,,radar_target_catalog,initial migration from snapshot
